name,url,section,resource_type,scale,status,evidence_level,validation_basis,run_status,artifact_status,reviewed_on,validation_signal,review_priority,workflow_tags,notes
imamdoula004/AI-Hybrid-EMPC-DataCenter-Cooling,https://github.com/imamdoula004/AI-Hybrid-EMPC-DataCenter-Cooling,"AI, Control, Digital Twins, And Operations",Paper artifact / simulation code,Predictive control / digital twin,paper artifact,paper artifact,paper artifact/source documentation and 2026-07-05 source inspection,"source inspected, local run not performed","public notebook, data workflow documentation, and synthetic-data fallback",2026-07-05,paper artifact,medium,simulation; monitoring; dataset; workflow,"Simulation notebook for an IEEE manuscript on BiLSTM forecasting, hybrid economic MPC, PID fallback, false-data-injection resilience, cost, carbon, and ASHRAE thermal constraints; source inspection on 2026-07-05 found `Hybrid_EMPC_LSTM_Simulation_Code.ipynb`, NumPy/Pandas/TensorFlow/SciPy dependencies, fixed seed 42, three expected CSV inputs, Kaggle dataset links, and an automatic synthetic-telemetry fallback when datasets are missing. README-reported KPI improvements remain paper/repository claims until the notebook is run and paper-to-code/data mapping is checked. Validation basis: paper artifact/source documentation and 2026-07-05 source inspection; Run status: source inspected, local run not performed; Artifact status: public notebook, data workflow documentation, and synthetic-data fallback; Reviewed: 2026-07-05."
Jalaljalili/Cooling-Dynamic-Model,https://github.com/Jalaljalili/Cooling-Dynamic-Model,"AI, Control, Digital Twins, And Operations",Open-source educational model,Dynamic modeling / PID control,educational,educational example,educational model documentation and 2026-07-01 source inspection,not run in catalog review,public code,2026-07-01,educational/prototype caveat,high,modeling; accounting,"RC thermal model with transfer functions, Bode plots, PID response comparison, disturbance injection, actuator limits, and closed-loop visualization; 2026-07-01 source inspection confirmed an interactive `python main.py` path, user-entered thermal parameters/PID gains, and future-work notes for MPC, multizone networks, fan/CRAC models, and adaptive gains, so keep it as a teaching model rather than facility validation. Validation basis: educational model documentation and 2026-07-01 source inspection; Run status: not run in catalog review; Artifact status: public code; Reviewed: 2026-07-01."
D1D104/fuzzy-miso-datacenter-cooling,https://github.com/D1D104/fuzzy-miso-datacenter-cooling,"AI, Control, Digital Twins, And Operations",Open-source control prototype,Fuzzy CRAC control,prototype,prototype,prototype documentation and 2026-07-03 source inspection,"source inspected, local run not performed",public Python/MQTT/Node-RED code and documentation,2026-07-03,educational/prototype caveat,high,control; monitoring; accounting,"Fuzzy MISO/Mamdani controller for CRAC power control with MQTT and Node-RED monitoring; source inspection on 2026-07-03 found error and error-derivative inputs, five-set membership functions, a 25-rule matrix, 0-100% CRAC power output, a first-order room-temperature update using thermal-load and outdoor-temperature disturbances, MQTT topics for perturbations/control/temperature/alerts/inference images, and alert rules for 18-26 C temperature bounds, CRAC overload, and error chattering. Useful as a lightweight teaching/prototyping reference, not as a calibrated facility controller. Validation basis: prototype documentation and 2026-07-03 source inspection; Run status: source inspected, local run not performed; Artifact status: public Python/MQTT/Node-RED code and documentation; Reviewed: 2026-07-03."
Lucabr01/RL-and-Gradient-Free-Based-Datacenter-Cooling-Controller,https://github.com/Lucabr01/RL-and-Gradient-Free-Based-Datacenter-Cooling-Controller,"AI, Control, Digital Twins, And Operations",Open-source educational project,EnergyPlus/Gymnasium control,educational,educational example,educational project documentation and 2026-07-01 source inspection,not run in catalog review,"public code, weights, progress log, and project writeup",2026-07-01,educational/prototype caveat,high,simulation; control,"Sinergym/EnergyPlus-based data center HVAC control study comparing Soft Actor-Critic and evolutionary strategies for energy and thermal-safety objectives; 2026-07-01 source inspection confirmed the `Eplus-datacenter_dx-mixed-continuous` setup, New York weather context, CRAC return-air setpoint action, 18-27 C comfort band, exponential thermal-violation reward, and 500k-step SAC training description, but no local reproduction. Validation basis: educational project documentation and 2026-07-01 source inspection; Run status: not run in catalog review; Artifact status: public code, weights, progress log, and project writeup; Reviewed: 2026-07-01."
rishithayanidhi/Data_Center_Cooling_Optimization_Environment,https://github.com/rishithayanidhi/Data_Center_Cooling_Optimization_Environment,"AI, Control, Digital Twins, And Operations",Open-source RL environment,Multi-zone cooling control,candidate,candidate,source README and code inspection; no independent validation recorded,not run in catalog review,public OpenEnv/FastAPI code,2026-06-27,screened low-confidence candidate,high,modeling; control,"OpenEnv/FastAPI environment for multi-zone temperature observations, cooling-level actions, synthetic workload patterns, simplified thermal dynamics, energy/reward terms, and baseline-agent hooks; keep as a screened low-confidence candidate because no facility data, plant model, independent validation, or local run is recorded. Validation basis: source README and code inspection; no independent validation recorded; Run status: not run in catalog review; Artifact status: public OpenEnv/FastAPI code; Reviewed: 2026-06-27."
SohelHossain1218/Smart-IoT-Data-Center-Cooling-Environment-Monitor,https://github.com/SohelHossain1218/Smart-IoT-Data-Center-Cooling-Environment-Monitor,"AI, Control, Digital Twins, And Operations",Open-source hardware prototype,Server-room monitoring/control,prototype,prototype,hardware prototype documentation and 2026-07-03 source inspection,"source inspected, hardware-in-loop validation not performed",public hardware documentation/code,2026-07-03,educational/prototype caveat,high,control; monitoring,"ESP8266/NodeMCU server-room monitor and dual-AC relay-control prototype; source inspection on 2026-07-03 found AHT21 temperature/humidity, ENS160 air-quality, MQ-2 smoke, SSD1306 OLED, active-low AC relays, buttons, LEDs, buzzer, WiFiManager setup, EEPROM setpoints, NTP timestamps, Telegram status/control commands, primary/standby AC threshold logic, alarm cooldowns, and manual override behavior. Useful for hardware-interface ideas, but sensor calibration, relay/electrical safety, firmware compilation/upload, and real server-room validation are not recorded. Validation basis: hardware prototype documentation and 2026-07-03 source inspection; Run status: source inspected, hardware-in-loop validation not performed; Artifact status: public hardware documentation/code; Reviewed: 2026-07-03."
eeyx1/cooling-fan-predictive-maintenance-digital-twin,https://github.com/eeyx1/cooling-fan-predictive-maintenance-digital-twin,"AI, Control, Digital Twins, And Operations",Open-source digital twin prototype,Cooling fan maintenance,prototype,prototype,"prototype documentation, simulated validation results, and 2026-07-02 source inspection","source inspected, local run not performed","public code, selected plots/metrics, generated data/model binaries excluded",2026-07-02,educational/prototype caveat,high,modeling; monitoring; accounting,"ESP32/MQTT/Python/Flask prototype for cooling-fan condition monitoring, anomaly detection, BMS dashboarding, evidence logging, AI maintenance support, and feedback-based retraining; 2026-07-02 source inspection found simulated validation summaries, quick-start commands for synthetic data, model training, dashboards, replay inference, SQLite schema validation, and AI reports, while raw/generated data and trained model binaries are excluded and real labelled fan-fault validation remains future work. Validation basis: prototype documentation, simulated validation results, and 2026-07-02 source inspection; Run status: source inspected, local run not performed; Artifact status: public code, selected plots/metrics, generated data/model binaries excluded; Reviewed: 2026-07-02."
iaziz6/Digital-Twin-for-Data-Center-Cooling,https://github.com/iaziz6/Digital-Twin-for-Data-Center-Cooling,"AI, Control, Digital Twins, And Operations",Open-source candidate,Rack cooling digital twin,candidate,candidate,source README only and repository search; no independent validation recorded,no runnable artifact found in catalog review,"public repository, documentation minimal",2026-06-27,screened low-confidence candidate,high,modeling,"Physics-regularized 3D U-Net concept for rack cooling with uncertainty quantification; the public README found on 2026-06-27 is one line and source search did not surface model files, data, examples, or paper linkage, so keep as a screened low-confidence candidate. Validation basis: source README only and repository search; no independent validation recorded; Run status: no runnable artifact found in catalog review; Artifact status: public repository, documentation minimal; Reviewed: 2026-06-27."
xiaodongwang991481/energy_saving,https://github.com/xiaodongwang991481/energy_saving,"AI, Control, Digital Twins, And Operations",Open-source candidate,ML energy saving,candidate,candidate,source README only and repository search; no independent validation recorded,no runnable artifact found in catalog review,"public repository, documentation minimal",2026-06-27,screened low-confidence candidate,high,reference,"Machine-learning project described only as data-center cooling energy saving by machine learning; the public README found on 2026-06-27 is one sentence and repository search did not surface cooling equations, datasets, examples, or validation evidence, so keep as a screened low-confidence candidate. Validation basis: source README only and repository search; no independent validation recorded; Run status: no runnable artifact found in catalog review; Artifact status: public repository, documentation minimal; Reviewed: 2026-06-27."
NVIDIA DSX Platform,https://docs.nvidia.com/dsx,"AI, Control, Digital Twins, And Operations",Vendor/product material / reference design platform,AI factory / facilities / cooling plant,vendor/material,vendor/product material,vendor platform documentation and reference-design claims,not run in catalog review,public documentation plus partial public GitHub components,2026-06-23,vendor evidence caveat,high,simulation; design; accounting,"Vendor platform documentation for AI factory design, simulation, operations, DSX Exchange IT/OT signals, DSX Sim digital twins, DSX Flex grid response, and generation-specific facilities reference designs with 45 C inlet context; useful as an industry signal, not as a public performance dataset. Validation basis: vendor platform documentation and reference-design claims; Run status: not run in catalog review; Artifact status: public documentation plus partial public GitHub components; Reviewed: 2026-06-23."
Digital twin workflows,,"AI, Control, Digital Twins, And Operations",Modeling/operations workflow,Rack/facility,workflow,workflow,not specified,not specified,not specified,,not specified,normal,modeling; control; workflow,"Sensor fusion, reduced-order models, uncertainty, calibration, anomaly detection, control, and what-if analysis."
Visum-ai/aif-ops,https://github.com/Visum-ai/aif-ops,"AI, Control, Digital Twins, And Operations",Open ontology / SHACL validation workflow,AI factory / liquid cooling operations,workflow,workflow,"source documentation, ontology files, SHACL shapes, and validation-command documentation",not run in catalog review,"public ontology, SHACL shapes, examples, and validation script",2026-06-25,documentation-only basis,medium,control; workflow; semantic metadata,"OWL ontology and SHACL shapes extending Brick Schema for CDUs, cold plates, rear-door heat exchangers, liquid-cooling manifolds, immersion tanks, GPU racks, rack PDUs, busways, procedures, failure modes, interlocks, lockout/tagout steps, maintenance tasks, commissioning steps, and operational events; useful for digital-twin semantics and operational metadata, but not a thermal solver. Validation basis: source documentation, ontology files, SHACL shapes, and validation-command documentation; Run status: not run in catalog review; Artifact status: public ontology, SHACL shapes, examples, and validation script; Reviewed: 2026-06-25."
UARK-NED3/CFDTwin,https://github.com/UARK-NED3/CFDTwin,"AI, Control, Digital Twins, And Operations",Lab desktop app / surrogate workflow,CFD surrogate modeling,workflow,workflow,"lab workflow documentation, package metadata, and 2026-07-05 source inspection","source inspected, local run not performed","public Python package code, documentation, examples, and GUI assets",2026-07-05,documentation-only basis,medium,simulation; modeling; CFD; testing; workflow,"Wizard-based desktop app and Python API for building neural-network surrogate models from Ansys Fluent simulations, including case loading, DOE sampling, batch simulation, training, validation, prediction, and Fluent comparison workflows; source inspection on 2026-07-05 confirmed Python 3.10+, `pip install cfdtwin`, optional `cfdtwin[gui]`, `ansys-fluent-core`, TensorFlow 2.20, API quickstart code, docs examples, and GUI/test extras. Meaningful validation still requires a Fluent installation, case file, example run, and output metrics. Validation basis: lab workflow documentation, package metadata, and 2026-07-05 source inspection; Run status: source inspected, local run not performed; Artifact status: public Python package code, documentation, examples, and GUI assets; Reviewed: 2026-07-05."
CFDTwin-style surrogate workflows,,"AI, Control, Digital Twins, And Operations",Research workflow,Component/facility,workflow,workflow,not specified,not specified,not specified,,not specified,normal,modeling; CFD; design; testing; workflow,"CFD automation, design of experiments, POD/reduced-order modeling, neural surrogate training, and validation."
PUE calculation workflows,,"System Metrics, Standards, And Accounting",Accounting workflow,Facility/campus,workflow,workflow,not specified,not specified,not specified,,not specified,normal,control; accounting; workflow,"Include IT power, cooling power, power delivery, component-level innovation effects, weather, controls, and annualization."
c50346867/data-center-pue-optimizer,https://github.com/c50346867/data-center-pue-optimizer,"System Metrics, Standards, And Accounting",Open-source synthetic-data PUE optimizer / educational prototype,Facility/PUE/control,educational,educational example,educational/prototype source documentation and code inspection,not run in catalog review,"public code, tests, demo, Streamlit dashboard, and FastAPI API",2026-06-29,educational/prototype caveat,high,simulation; modeling; monitoring; testing; accounting; workflow,"Streamlit/FastAPI/Python project for synthetic data-center PUE simulation, LightGBM prediction, rule-based cooling recommendations, feature-importance inspection, and unit-tested demo workflows; useful for teaching PUE-modeling interfaces, but the public source check found generated data rather than facility telemetry or independent validation. Validation basis: educational/prototype source documentation and code inspection; Run status: not run in catalog review; Artifact status: public code, tests, demo, Streamlit dashboard, and FastAPI API; Reviewed: 2026-06-29."
WUE and water accounting,,"System Metrics, Standards, And Accounting",Accounting workflow,Facility/campus,workflow,workflow,not specified,not specified,not specified,,not specified,normal,accounting; workflow,"Water-side economizers, evaporative cooling, cooling towers, regional water stress, and treatment requirements."
ERE and heat reuse accounting,,"System Metrics, Standards, And Accounting",Accounting workflow,Facility/campus,workflow,workflow,not specified,not specified,not specified,,not specified,normal,accounting; heat reuse; workflow,Captures useful exported heat and clarifies when heat reuse improves system performance.
ASHRAE Data Center Resources,https://www.ashrae.org/technical-resources/bookstore/datacom-series,"System Metrics, Standards, And Accounting",Standard/guideline hub,IT/facility,standard/guideline,standard/guideline,standard/guideline hub,not applicable,public resource page with linked standards,2026-06-22,standard/guideline,medium,CFD; control; design; accounting; standard,"ASHRAE TC 9.9 guidance, ANSI/ASHRAE Standard 90.4-2025, thermal guidelines, liquid-cooling resources, datacom references, and data-center CFD/control articles for designers and researchers. Validation basis: standard/guideline hub; Run status: not applicable; Artifact status: public resource page with linked standards; Reviewed: 2026-06-22."
PNNL/ASHRAE/NEMA AI Data Center Energy Performance Framework,https://www.ashrae.org/technical-resources/ai-data-center-framework,"System Metrics, Standards, And Accounting",Guidance framework,AI data center / facility,standard/guideline,standard/guideline,guideline/framework source,not applicable,public guidance page,2026-06-22,standard/guideline,medium,planning,"Current framework source for energy-efficient AI data center planning, energy and thermal efficiency, water, grid-interactive operation, commissioning, operations, retrofit, and tools/resources; use as guidance context, not a performance dataset. Validation basis: guideline/framework source; Run status: not applicable; Artifact status: public guidance page; Reviewed: 2026-06-22."
The Green Grid PUE white paper,https://datacenters.lbl.gov/sites/default/files/WP49-PUE%20A%20Comprehensive%20Examination%20of%20the%20Metric_v6.pdf,"System Metrics, Standards, And Accounting",Metric guidance,Facility/campus,included,curated resource,metric guidance,not applicable,public document,2026-06-22,standard/guideline,normal,accounting,PUE measurement and reporting guidance; use to avoid partial-boundary or cooling-only misuse of PUE. Validation basis: metric guidance; Run status: not applicable; Artifact status: public document; Reviewed: 2026-06-22.
The Green Grid WUE white paper,https://www.thegreengrid.org/system/files/store/WUE_v1.pdf,"System Metrics, Standards, And Accounting",Metric guidance,Facility/campus,included,curated resource,metric guidance,not applicable,public document,2026-06-22,standard/guideline,normal,reference,Water Usage Effectiveness definition and reporting context for linking cooling choices to water consumption. Validation basis: metric guidance; Run status: not applicable; Artifact status: public document; Reviewed: 2026-06-22.
The Green Grid Water Usage Impact metric,https://www.itic.org/news-events/news-releases/the-green-grid-releases-new-tool-to-help-data-centers-advance-water-efficiency,"System Metrics, Standards, And Accounting",Emerging metric,Facility/campus/site selection,included,curated resource,metric announcement,not applicable,public announcement,2026-06-22,not specified,normal,accounting,2025 metric announcement combining water consumption and water-stress context; useful for tracking future water-impact accounting beyond WUE. Validation basis: metric announcement; Run status: not applicable; Artifact status: public announcement; Reviewed: 2026-06-22.
OCP OAI System Liquid Cooling Guidelines,https://www.opencompute.org/documents/oai-system-liquid-cooling-guidelines-in-ocp-template-mar-3-2023-update-pdf,"System Metrics, Standards, And Accounting",Guideline,OAI/OAM modules / liquid cooling,standard/guideline,standard/guideline,guideline source,not applicable,public document,2026-06-22,standard/guideline,medium,design,"OCP guidance on design, validation, implementation, and risk factors for liquid cooling high-power accelerator modules. Validation basis: guideline source; Run status: not applicable; Artifact status: public document; Reviewed: 2026-06-22."
Reliability and serviceability metrics,,"System Metrics, Standards, And Accounting",Evaluation workflow,Component to facility,workflow,workflow,not specified,not specified,not specified,,not specified,normal,workflow,"Leak risk, maintainability, redundancy, uptime, pump/fan failure, fouling, corrosion, and instrumentation drift."
UARK-NED3/OpenDC-LCA,https://github.com/UARK-NED3/OpenDC-LCA,"Sustainability: Life Cycle, Water, Carbon, And Heat Reuse","Open-source, physics-informed LCA screening tool",Cooling system / facility,included,open-source implementation,source documentation and public repository metadata,"source inspected, local run not performed","public MIT-licensed code, documentation, CI, and release metadata",2026-08-11,documentation-only basis,medium,dataset,"MIT-licensed local application for screening annual greenhouse-gas, primary-energy, and blue-water implications of air, direct-to-chip, immersion, or user-defined cooling systems, with traceable inputs, contribution analysis, audit warnings, and machine-readable results. The upstream documentation explicitly limits results to screening unless foreground data, background inventories, uncertainty, and system boundaries are fit for the decision. Validation basis: source documentation and public repository metadata; Run status: source inspected, local run not performed; Artifact status: public MIT-licensed code, documentation, CI, and release metadata; Reviewed: 2026-08-11."
Data-Center Exposure Atlas,https://hanhuark.github.io/Data-Center-Water-Research/atlas/,"Sustainability: Life Cycle, Water, Carbon, And Heat Reuse",Interactive water-exposure screening atlas,U.S. facility / regional water context,included,curated resource,public atlas documentation and live-page inspection,not applicable,public interactive screening site,2026-08-11,documentation-only basis,medium,modeling,"Public interactive layer for prioritizing water-data validation across U.S. data-center sites using modeled screening estimates, water-stress classes, and reported capacity and water-use context. The public demo omits site/company names and rounds coordinates; its page explicitly states that stress classes are modeled screening estimates rather than measured impacts. Validation basis: public atlas documentation and live-page inspection; Run status: not applicable; Artifact status: public interactive screening site; Reviewed: 2026-08-11."
LukeJYK/IPDPS26_WaterSplit,https://github.com/LukeJYK/IPDPS26_WaterSplit,"Sustainability: Life Cycle, Water, Carbon, And Heat Reuse",Open-source hybrid-cooling simulator and scheduler / paper artifact,Facility cooling and workload scheduling,paper artifact,paper artifact,"source documentation, repository metadata, and paper-artifact description","source inspected, local run not performed",public MIT-licensed code and documentation,2026-08-11,paper artifact,medium,modeling; optimization; accounting,"MIT-licensed WaterSplit artifact for coordinated on-site and off-site water allocation. The README describes physics-based wet/dry cooling models, PUE and on-site WUE estimates, cooling-allocation optimization, and workload scheduling under a water budget. Treat it as a source-inspected research artifact until its inputs, model assumptions, and reported results are independently rerun or matched to the accompanying paper. Validation basis: source documentation, repository metadata, and paper-artifact description; Run status: source inspected, local run not performed; Artifact status: public MIT-licensed code and documentation; Reviewed: 2026-08-11."
HewlettPackard/sustain-cluster,https://github.com/HewlettPackard/sustain-cluster,"Sustainability: Life Cycle, Water, Carbon, And Heat Reuse",Open-source sustainable workload-scheduling benchmark,Geo-distributed data centers / operations,benchmark,benchmark,source documentation and public repository metadata,"source inspected, local run not performed","public MIT-licensed code, configurations, and benchmark documentation",2026-08-11,documentation-only basis,medium,dataset; benchmark,"MIT-licensed Gymnasium environment for multi-objective scheduling across geographically distributed data centers. Upstream documentation describes AI traces, weather, electricity-price and carbon-intensity data, plus data-center physics and HVAC proxy terms; it is relevant for carbon-aware workload/cooling trade studies. Benchmark results and thermal/HVAC assumptions require local reproduction and data-license review before use as evidence. Validation basis: source documentation and public repository metadata; Run status: source inspected, local run not performed; Artifact status: public MIT-licensed code, configurations, and benchmark documentation; Reviewed: 2026-08-11."
Cloud Carbon Footprint,https://github.com/cloud-carbon-footprint/cloud-carbon-footprint,"Sustainability: Life Cycle, Water, Carbon, And Heat Reuse",Open-source cloud energy/carbon accounting tool,Public-cloud workload / organizational accounting,included,open-source implementation,source documentation and public repository metadata,"source inspected, local run not performed","public Apache-2.0 code, methodology documentation, and CI metadata",2026-08-11,documentation-only basis,medium,accounting,"Apache-2.0 application for estimating energy use and carbon emissions from public-cloud utilization. It is adjacent rather than a cooling solver, but can support workload-boundary carbon accounting when paired with explicit cooling and facility assumptions; do not infer cooling, water, or life-cycle impacts from its estimates alone. Validation basis: source documentation and public repository metadata; Run status: source inspected, local run not performed; Artifact status: public Apache-2.0 code, methodology documentation, and CI metadata; Reviewed: 2026-08-11."
Mechanical Engineering Research Skill,https://github.com/hanhuark/mechanical-engineering-research-skill,"Skills, Agents, And Plugin Collections",Agent skill,Thermal-fluid research workflow,workflow,workflow,documentation-only basis,not run in catalog review,public skill documentation,2026-06-22,documentation-only basis,medium,CFD; testing; workflow,"Source-aware workflow for heat transfer, fluid mechanics, HVAC, energy systems, CFD, experiments, AI/ML, research coding, proposals, and technical writing. Useful as a domain-specific research assistant for data center cooling studies. Validation basis: documentation-only basis; Run status: not run in catalog review; Artifact status: public skill documentation; Reviewed: 2026-06-22."
Imbad0202/academic-research-skills,https://github.com/Imbad0202/academic-research-skills,"Skills, Agents, And Plugin Collections",Plugin/skill collection,Research workflow,workflow,workflow,documentation-only basis,not run in catalog review,public skill documentation,2026-06-22,documentation-only basis,medium,planning; workflow,"Academic research skills for literature review, paper planning, writing, review, citation checking, and publication workflows. Useful for cooling researchers preparing reviews, manuscripts, and proposal background sections. Validation basis: documentation-only basis; Run status: not run in catalog review; Artifact status: public skill documentation; Reviewed: 2026-06-22."
Data Center Due Diligence Orchestrator,https://mcpmarket.com/tools/skills/data-center-due-diligence-orchestrator,"Skills, Agents, And Plugin Collections",Agent skill,Site/facility/investment workflow,commercial,commercial workflow,documentation-only basis,not run in catalog review,public skill documentation,2026-06-22,documentation-only basis,medium,control,"Coordinates multi-domain data center due diligence across power, connectivity, land, environmental, and commercial factors. Relevant for site selection, infrastructure risk, and early-stage facility cooling constraints. Validation basis: documentation-only basis; Run status: not run in catalog review; Artifact status: public skill documentation; Reviewed: 2026-06-22."
Sensibo Automation,https://mcpmarket.com/tools/skills/sensibo-automation,"Skills, Agents, And Plugin Collections",Agent skill / MCP workflow,Building HVAC/control,prototype,prototype,documentation-only basis,not run in catalog review,public skill documentation,2026-06-22,documentation-only basis,medium,control; monitoring; testing; workflow,"Automates Sensibo-connected climate control and monitoring. Mostly adjacent to data centers, but relevant for building-level HVAC control experiments, small lab test spaces, and AI-driven climate-control workflow prototypes. Validation basis: documentation-only basis; Run status: not run in catalog review; Artifact status: public skill documentation; Reviewed: 2026-06-22."
HyperYJ/ai-liquid-council,https://github.com/HyperYJ/ai-liquid-council,"Skills, Agents, And Plugin Collections",Agent skill,AI data center liquid cooling due diligence,included,curated resource,documentation-only basis,not run in catalog review,public skill documentation,2026-06-22,documentation-only basis,medium,reference,"Chinese/English-oriented skill for evaluating liquid-cooling projects, companies, direct-to-chip vs immersion routes, CDUs, manifolds, QDs, retrofit constraints, and investment/technical diligence. Validation basis: documentation-only basis; Run status: not run in catalog review; Artifact status: public skill documentation; Reviewed: 2026-06-22."
