full_name,url,description,stream,stars,forks,language,updated_at,pushed_at,archived,topics,tracked_status,recommendation,rationale
shigetabody-ai/datacenter-cooling-news,https://github.com/shigetabody-ai/datacenter-cooling-news,,datacenter cooling,0,0,,2026-08-08T16:29:12Z,2026-08-08T16:29:08Z,False,,new to queue,review manually,One relevant signal found: cooling.
api-evangelist/abm-industries,https://github.com/api-evangelist/abm-industries,"ABM Industries provides facility, engineering and infrastructure, and mobility solutions helping organizations with health and safety, resilience, productivity, and sustainability. ABM serves over 100,000 employees across industries including aerospace, aviation, commercial real estate, data centers, healthcare, and more.",data center sustainability,0,0,,2026-08-11T23:16:04Z,2026-08-11T23:16:01Z,False,apis-json; engineering; facilities-management; fortune-500; infrastructure; mobility,new to queue,low priority,"No explicit cooling, energy, or thermal signal in API metadata."
api-evangelist/byanat,https://github.com/api-evangelist/byanat,"Byanat is an Oman-based, award-winning AI company offering a unified platform for optimizing digital infrastructure across telecommunications networks and data centers. The platform pairs system-wide visibility with custom-tailored automation to scale operations, ensure compliance, and promote sustainability, an approach the company frames as…",data center sustainability,0,0,,2026-08-11T23:30:33Z,2026-08-11T23:30:30Z,False,apis-json; artificial-intelligence; automation; company; data-centers; infrastructure; network-management; sustainability; telecommunications,new to queue,low priority,"No explicit cooling, energy, or thermal signal in API metadata."
api-evangelist/dayone,https://github.com/api-evangelist/dayone,"DayOne is a hyperscale data center company delivering next-generation digital infrastructure for cloud, AI, and edge computing workloads. Spun out of the GDS International business and backed by SoftBank Vision Fund 2, DayOne develops and operates strategically located, interconnected data center campuses across Asia-Pacific — Singapore, Johor…",data center sustainability,0,0,,2026-08-11T23:40:16Z,2026-08-11T23:40:11Z,False,ai-infrastructure; apis-json; cloud-infrastructure; company; data-centers; digital-infrastructure; edge-computing; frontier-tech; hyperscale; sustainability,new to queue,low priority,"No explicit cooling, energy, or thermal signal in API metadata."
nidhishh/Life-cycle-Assessment-of-AI-data-centers,https://github.com/nidhishh/Life-cycle-Assessment-of-AI-data-centers,,data center life cycle assessment,0,0,,2026-04-22T11:31:52Z,2026-04-22T11:31:52Z,False,,new to queue,low priority,"No explicit cooling, energy, or thermal signal in API metadata."
JuwanHa/-BETlab-Data-Center-Modeling,https://github.com/JuwanHa/-BETlab-Data-Center-Modeling,"Physics-based Data Center Modeling, EnergyPlus, IT-Cooling Load coupling, Air-cooled Data Center (ACDC), Liquid-cooled Data Center (LCDC)",data center liquid cooling,3,0,,2026-08-09T09:04:09Z,2026-04-20T20:24:33Z,False,,already tracked,already tracked,Already appears in README.md or docs/candidate-repos.md.
samrudition/dynamic-cooling-loop,https://github.com/samrudition/dynamic-cooling-loop,"Transient thermal simulation of active liquid cooling loops for data centers, EVs, and industrial systems. This MATLAB/Simulink model captures dynamic interactions between heat sources, pump flow, and heat exchanger performance under variable loads. Includes control logic and thermal stability analysis for high-density compute and energy storage.",liquid cooled data center control,2,0,MATLAB,2026-07-13T08:31:49Z,2026-01-04T05:27:54Z,False,,already tracked,already tracked,Already appears in README.md or docs/candidate-repos.md.
kevinanthonypamisetti/ecoData,https://github.com/kevinanthonypamisetti/ecoData,"🌊 Closed-loop liquid cooling system for data centers — digital twin simulator with real-time thermal physics, water usage comparison, and PUE scoring.",data center liquid cooling,1,0,HTML,2026-06-13T14:06:28Z,2026-03-14T10:17:48Z,False,,already tracked,already tracked,Already appears in README.md or docs/candidate-repos.md.
c50346867/data-center-pue-optimizer,https://github.com/c50346867/data-center-pue-optimizer,AI-powered data center PUE optimization - AI 驱动的数据中心能效优化,PUE data center,0,0,Python,2026-06-04T13:56:40Z,2026-06-04T13:55:36Z,False,,already tracked,already tracked,Already appears in README.md or docs/candidate-repos.md.
cap-dcwiz/hybrid-cooling-early-warning,https://github.com/cap-dcwiz/hybrid-cooling-early-warning,Hybrid air/liquid data-center cooling early-warning interactive demo,data center liquid cooling,0,0,TypeScript,2026-06-05T09:05:31Z,2026-06-05T09:05:27Z,False,,already tracked,already tracked,Already appears in README.md or docs/candidate-repos.md.
HyperYJ/ai-liquid-council,https://github.com/HyperYJ/ai-liquid-council,AI data center liquid cooling evaluation skill with expert distillation cards,data center liquid cooling,0,0,,2026-04-14T16:22:20Z,2026-04-14T16:22:17Z,False,,already tracked,already tracked,Already appears in README.md or docs/candidate-repos.md.
LukeJYK/IPDPS26_WaterSplit,https://github.com/LukeJYK/IPDPS26_WaterSplit,Artifact (WATERSPLIT: Coordinated On-Site and Off-Site Water Allocation For Sustainable Datacenter Cooling),datacenter cooling,0,0,Python,2026-07-30T22:48:04Z,2026-07-30T22:46:13Z,False,,already tracked,already tracked,Already appears in README.md or docs/candidate-repos.md.
Visum-ai/aif-ops,https://github.com/Visum-ai/aif-ops,OWL ontology and SHACL shapes extending Brick Schema with operational metadata for data center liquid cooling infrastructure,data center liquid cooling,0,0,Shell,2026-06-22T19:01:19Z,2026-06-22T19:01:09Z,False,,already tracked,already tracked,Already appears in README.md or docs/candidate-repos.md.
weiweisthl-maker/pue-solver,https://github.com/weiweisthl-maker/pue-solver,"Modular Data Center PUE Solver (curve-driven, Pyodide)",PUE data center,0,1,JavaScript,2026-05-18T05:45:56Z,2026-05-18T05:45:52Z,False,,already tracked,already tracked,Already appears in README.md or docs/candidate-repos.md.
